subject,topic,difficulty,sample_quiz_question
Math,Linear Equations,easy,Solve for x: 2x + 4 = 10
Math,Fractions,easy,What is 3/4 + 1/2?
Math,Percentages,medium,What is 20% of 150?
Science,Photosynthesis,easy,Name the gas plants absorb from the air during photosynthesis.
Science,States of Matter,easy,What is it called when a liquid turns into a gas?
Science,Newton's Laws,medium,"According to Newton's first law, what happens to an object at rest with no force acting on it?"
English,Parts of Speech,easy,Identify the verb in this sentence: 'The dog runs fast.'
English,Tenses,medium,Rewrite this sentence in past tense: 'She walks to school.'
Social Studies,Indian Independence,easy,In which year did India gain independence?
Social Studies,Types of Government,medium,Name one difference between a democracy and a monarchy.
